Transaction Date,Post Date,Description,Category,Type,Amount
07/18/2020,07/19/2020,WALMART.COM AW,Shopping,Sale,-21.48
07/17/2020,07/19/2020,COX SANTA BARB COMM,Bills & Utilities,Sale,-39.99
07/18/2020,07/19/2020,SQ *BROAD STREET OYSTER C,Food & Drink,Sale,-110.81
07/16/2020,07/19/2020,RUDYS MEXICAN RESTAURANT,Food & Drink,Sale,-25.03
07/14/2020,07/14/2020,Payment Thank You-Mobile,,Payment,1266.53
07/11/2020,07/13/2020,SANTA BARBARA GAS,Gas,Sale,-17.50
07/08/2020,07/09/2020,PAYPAL *BETTINA,Food & Drink,Sale,-101.00
07/07/2020,07/08/2020,COSTCO WHSE #0474,Shopping,Sale,-134.78
07/07/2020,07/08/2020,GEICO  *AUTO,Bills & Utilities,Sale,-90.95
07/06/2020,07/08/2020,HAYASHIDA &amp; ASSOCIATES P,Health & Wellness,Sale,-117.06
07/06/2020,07/07/2020,AMZN Mktp US*MJ44061L0,Shopping,Sale,-26.94
07/05/2020,07/06/2020,PLAYITAGAINSP #10756,Shopping,Return,44.18
07/03/2020,07/05/2020,TRADER JOE'S #183  QPS,Groceries,Sale,-117.25
07/03/2020,07/05/2020,PLAYITAGAINSP #10756,Shopping,Sale,-58.16
07/04/2020,07/05/2020,TRI-COUNTY PRODUCE,Groceries,Sale,-3.82
07/03/2020,07/05/2020,RALPHS 0680,Groceries,Sale,-9.52
07/02/2020,07/02/2020,PAYPAL *HULU,Bills & Utilities,Sale,-1.99
06/30/2020,07/02/2020,EAST BEACH TACOS,Food & Drink,Sale,-15.87
06/28/2020,06/30/2020,LAZY ACRES # 23,Groceries,Sale,-29.29
06/27/2020,06/29/2020,805 BOBA,Food & Drink,Sale,-6.14
06/28/2020,06/29/2020,COSTCO WHSE #0474,Shopping,Sale,-126.81
06/25/2020,06/26/2020,APPLE.COM/BILL,Shopping,Sale,-0.99
06/23/2020,06/25/2020,SONOS  INC.,Home,Sale,-346.74
06/20/2020,06/22/2020,SANTA BARBARA GAS,Gas,Sale,-18.00
06/21/2020,06/22/2020,RITE AID STORE - 5789,Health & Wellness,Sale,-4.29
06/20/2020,06/21/2020,TRADER JOE'S #183  QPS,Groceries,Sale,-165.11
06/18/2020,06/19/2020,BETTINA,Food & Drink,Sale,-44.55
06/18/2020,06/19/2020,ONLINE ORDER HANDLING,Food & Drink,Sale,-1.07
06/16/2020,06/17/2020,COX SANTA BARB COMM,Bills & Utilities,Sale,-39.99
06/16/2020,06/17/2020,AMZN Mktp US*MY0CF7Y02,Shopping,Sale,-26.02
06/14/2020,06/16/2020,THE HOME DEPOT 6623,Home,Sale,-15.02
06/16/2020,06/16/2020,PAYPAL *CDKEYS.COM,Entertainment,Sale,-11.99
06/15/2020,06/15/2020,Payment Thank You-Mobile,,Payment,928.52
06/14/2020,06/15/2020,RALPHS 0100,Groceries,Sale,-17.29
06/14/2020,06/15/2020,TARGET        00028720,Shopping,Sale,-34.55
06/12/2020,06/14/2020,TRADER JOE'S #183  QPS,Groceries,Sale,-24.70
06/12/2020,06/14/2020,PAYPAL *DONATION,Gifts & Donations,Sale,-20.00
06/11/2020,06/12/2020,EDDIE BAUER.COM,Shopping,Return,42.82
06/06/2020,06/08/2020,REYES MARKET,Groceries,Sale,-28.20
06/07/2020,06/08/2020,GEICO  *AUTO,Bills & Utilities,Sale,-100.57
06/05/2020,06/07/2020,PAYPAL *ACTBLUECHAR,Gifts & Donations,Sale,-100.00
06/06/2020,06/07/2020,TRADER JOE'S #183  QPS,Groceries,Sale,-192.45
06/01/2020,06/04/2020,CITY OF SB DOWNTWN PARKI,Bills & Utilities,Sale,-35.00
05/31/2020,06/02/2020,SANTA BARBARA FISH MARKE,Groceries,Sale,-18.62
06/02/2020,06/02/2020,PAYPAL *HULU,Bills & Utilities,Sale,-1.99
05/31/2020,06/01/2020,RALPHS 0680,Groceries,Sale,-17.86
05/29/2020,05/31/2020,SANTA BARBARA GAS,Gas,Sale,-19.81
05/26/2020,05/27/2020,Amazon.com*M71HV0M62,Shopping,Sale,-117.57
05/25/2020,05/26/2020,APPLE.COM/BILL,Shopping,Sale,-0.99
05/22/2020,05/24/2020,EAST BEACH TACOS,Food & Drink,Sale,-49.78
05/23/2020,05/24/2020,REI.COM,Shopping,Sale,-129.40
05/22/2020,05/24/2020,STOP &amp; SHOP,Gas,Sale,-14.52
05/21/2020,05/22/2020,TRADER JOE'S #183  QPS,Groceries,Sale,-169.76
05/21/2020,05/21/2020,SQ *WINGMAN RODEO,Food & Drink,Sale,-13.03
05/20/2020,05/21/2020,WINGMAN - * WINGMAN RO,Food & Drink,Sale,-65.98
